filename,width,height,class,xmin,ymin,xmax,ymax
tomatosoup0105.jpg,480,640,tomatosoup,171,162,356,439
sardines0182.jpg,480,640,sardine,213,219,347,452
tomatosoup0597.jpg,480,640,tomatosoup,107,287,305,438
toothpaste0422.jpg,480,640,toothpaste,42,240,232,435
maggi0047.jpg,480,640,maggi,84,231,263,449
tomatosoup0173.jpg,480,640,tomatosoup,163,198,286,387
sardines0481.jpg,480,640,sardine,145,296,303,501
jasminetea0136.jpg,480,640,jasminetea,155,232,279,375
jasminetea0009.jpg,480,640,jasminetea,275,269,412,401
maggi0376.jpg,480,640,maggi,83,160,344,471
sardines0186.jpg,480,640,sardine,242,271,381,505
maggi0657.jpg,480,640,maggi,76,126,436,542
toothpaste0178.jpg,480,640,toothpaste,210,137,316,454
tomatosoup0342.jpg,480,640,tomatosoup,156,154,305,395
toothpaste0233.jpg,480,640,toothpaste,225,126,362,446
soap0496.jpg,480,640,soap,74,189,402,520
soap0348.jpg,480,640,soap,125,228,308,326
maggi0385.jpg,480,640,maggi,179,235,350,452
jasminetea0118.jpg,480,640,jasminetea,183,238,269,375
jasminetea0238.jpg,480,640,jasminetea,235,278,339,394
cookingoil0232.jpg,480,640,cookingoil,223,170,268,296
soap0209.jpg,480,640,soap,138,201,305,295
sardines0433.jpg,480,640,sardine,150,311,321,512
maggi0574.jpg,480,640,maggi,162,221,348,416
jasminetea0188.jpg,480,640,jasminetea,171,268,296,375
maggi0440.jpg,480,640,maggi,76,154,265,408
soap0386.jpg,480,640,soap,132,194,366,430
maggi0509.jpg,480,640,maggi,107,102,375,358
maggi0425.jpg,480,640,maggi,180,260,320,449
tomatosoup0137.jpg,480,640,tomatosoup,209,177,348,380
jasminetea0068.jpg,480,640,jasminetea,141,233,260,364
tomatosoup0034.jpg,480,640,tomatosoup,150,168,286,383
cookingoil0342.jpg,480,640,cookingoil,261,253,404,315
maggi0079.jpg,480,640,maggi,123,164,435,483
maggi0405.jpg,480,640,maggi,146,216,340,465
sardines0181.jpg,480,640,sardine,200,217,332,451
toothpaste0137.jpg,480,640,toothpaste,219,215,319,516
maggi0433.jpg,480,640,maggi,154,160,330,395
soap0282.jpg,480,640,soap,115,156,287,241
tomatosoup0080.jpg,480,640,tomatosoup,170,181,352,440
whitechia0150.jpg,480,640,whitechia,85,143,375,505
maggi0029.jpg,480,640,maggi,110,81,329,346
sardines0293.jpg,480,640,sardine,239,274,282,345
whitechia0666.jpg,480,640,whitechia,213,159,322,233
soap0100.jpg,480,640,soap,217,182,345,316
soap0009.jpg,480,640,soap,189,235,348,340
maggi0610.jpg,480,640,maggi,171,196,314,402
toothpaste0440.jpg,480,640,toothpaste,225,265,353,413
soap0285.jpg,480,640,soap,123,120,286,210
